Year,Region,target,value
2005,East,L2_Zymoseptoria_tritici_Disease_Severity,2.9453406
2005,East Midlands,L2_Zymoseptoria_tritici_Disease_Severity,3.318548
2005,North East,L2_Zymoseptoria_tritici_Disease_Severity,4.6227837
2005,North West,L2_Zymoseptoria_tritici_Disease_Severity,10.763311
2005,South East,L2_Zymoseptoria_tritici_Disease_Severity,5.5336094
2005,South West,L2_Zymoseptoria_tritici_Disease_Severity,10.613669
2005,West Midlands,L2_Zymoseptoria_tritici_Disease_Severity,6.9601817
2005,Yorkshire and The Humber,L2_Zymoseptoria_tritici_Disease_Severity,6.5643606
2006,East,L2_Zymoseptoria_tritici_Disease_Severity,3.934918
2006,East Midlands,L2_Zymoseptoria_tritici_Disease_Severity,4.6680136
2006,North East,L2_Zymoseptoria_tritici_Disease_Severity,1.6575736
2006,North West,L2_Zymoseptoria_tritici_Disease_Severity,6.4263906
2006,South East,L2_Zymoseptoria_tritici_Disease_Severity,8.35434
2006,South West,L2_Zymoseptoria_tritici_Disease_Severity,9.215866
2006,West Midlands,L2_Zymoseptoria_tritici_Disease_Severity,8.657168
2006,Yorkshire and The Humber,L2_Zymoseptoria_tritici_Disease_Severity,2.5624616
2007,East,L2_Zymoseptoria_tritici_Disease_Severity,5.3753653
2007,East Midlands,L2_Zymoseptoria_tritici_Disease_Severity,4.472379
2007,North East,L2_Zymoseptoria_tritici_Disease_Severity,2.7562966
2007,North West,L2_Zymoseptoria_tritici_Disease_Severity,7.4300904
2007,South East,L2_Zymoseptoria_tritici_Disease_Severity,7.8585777
2007,South West,L2_Zymoseptoria_tritici_Disease_Severity,9.8086605
2007,Wales,L2_Zymoseptoria_tritici_Disease_Severity,9.425955
2007,West Midlands,L2_Zymoseptoria_tritici_Disease_Severity,8.303153
2007,Yorkshire and The Humber,L2_Zymoseptoria_tritici_Disease_Severity,4.468465
2008,East,L2_Zymoseptoria_tritici_Disease_Severity,1.3594909
2008,East Midlands,L2_Zymoseptoria_tritici_Disease_Severity,2.144042
2008,North East,L2_Zymoseptoria_tritici_Disease_Severity,1.7914662
2008,North West,L2_Zymoseptoria_tritici_Disease_Severity,3.3973823
2008,South East,L2_Zymoseptoria_tritici_Disease_Severity,4.682966
2008,South West,L2_Zymoseptoria_tritici_Disease_Severity,7.1064434
2008,West Midlands,L2_Zymoseptoria_tritici_Disease_Severity,4.122855
2008,Yorkshire and The Humber,L2_Zymoseptoria_tritici_Disease_Severity,3.0192437
2009,East,L2_Zymoseptoria_tritici_Disease_Severity,2.1025064
2009,East Midlands,L2_Zymoseptoria_tritici_Disease_Severity,3.1007085
2009,North East,L2_Zymoseptoria_tritici_Disease_Severity,1.7602341
2009,North West,L2_Zymoseptoria_tritici_Disease_Severity,7.509062
2009,South East,L2_Zymoseptoria_tritici_Disease_Severity,5.034815
2009,South West,L2_Zymoseptoria_tritici_Disease_Severity,6.495317
2009,West Midlands,L2_Zymoseptoria_tritici_Disease_Severity,6.6867466
2009,Yorkshire and The Humber,L2_Zymoseptoria_tritici_Disease_Severity,3.4875698
2010,East,L2_Zymoseptoria_tritici_Disease_Severity,1.0864513
2010,East Midlands,L2_Zymoseptoria_tritici_Disease_Severity,1.187791
2010,North East,L2_Zymoseptoria_tritici_Disease_Severity,0.7066701
2010,North West,L2_Zymoseptoria_tritici_Disease_Severity,1.884952
2010,South East,L2_Zymoseptoria_tritici_Disease_Severity,2.2850773
2010,South West,L2_Zymoseptoria_tritici_Disease_Severity,3.2415276
2010,Wales,L2_Zymoseptoria_tritici_Disease_Severity,2.981657
2010,West Midlands,L2_Zymoseptoria_tritici_Disease_Severity,2.421123
