Year,Region,target,value
2005,East,L1_Yellow_rust_Crop_Incidence,0.020559654
2005,East Midlands,L1_Yellow_rust_Crop_Incidence,0.058386862
2005,North East,L1_Yellow_rust_Crop_Incidence,0.089467496
2005,North West,L1_Yellow_rust_Crop_Incidence,0.06364492
2005,South East,L1_Yellow_rust_Crop_Incidence,0.011958062
2005,South West,L1_Yellow_rust_Crop_Incidence,0.016406637
2005,West Midlands,L1_Yellow_rust_Crop_Incidence,0.053114325
2005,Yorkshire and The Humber,L1_Yellow_rust_Crop_Incidence,0.06332043
2006,East,L1_Yellow_rust_Crop_Incidence,0.0022257392
2006,East Midlands,L1_Yellow_rust_Crop_Incidence,0.017780777
2006,North East,L1_Yellow_rust_Crop_Incidence,0.013129555
2006,North West,L1_Yellow_rust_Crop_Incidence,0.005960998
2006,South East,L1_Yellow_rust_Crop_Incidence,0.018838858
2006,South West,L1_Yellow_rust_Crop_Incidence,0.0
2006,West Midlands,L1_Yellow_rust_Crop_Incidence,0.013982663
2006,Yorkshire and The Humber,L1_Yellow_rust_Crop_Incidence,0.012808853
2007,East,L1_Yellow_rust_Crop_Incidence,4.2144794
2007,East Midlands,L1_Yellow_rust_Crop_Incidence,4.569121
2007,North East,L1_Yellow_rust_Crop_Incidence,4.5492105
2007,North West,L1_Yellow_rust_Crop_Incidence,3.5136473
2007,South East,L1_Yellow_rust_Crop_Incidence,4.849352
2007,South West,L1_Yellow_rust_Crop_Incidence,4.366481
2007,Wales,L1_Yellow_rust_Crop_Incidence,4.555065
2007,West Midlands,L1_Yellow_rust_Crop_Incidence,4.6058035
2007,Yorkshire and The Humber,L1_Yellow_rust_Crop_Incidence,4.997444
2008,East,L1_Yellow_rust_Crop_Incidence,0.72425896
2008,East Midlands,L1_Yellow_rust_Crop_Incidence,0.6013359
2008,North East,L1_Yellow_rust_Crop_Incidence,0.54030067
2008,North West,L1_Yellow_rust_Crop_Incidence,0.551678
2008,South East,L1_Yellow_rust_Crop_Incidence,0.7018157
2008,South West,L1_Yellow_rust_Crop_Incidence,0.7196593
2008,West Midlands,L1_Yellow_rust_Crop_Incidence,0.60429263
2008,Yorkshire and The Humber,L1_Yellow_rust_Crop_Incidence,0.56939936
2009,East,L1_Yellow_rust_Crop_Incidence,0.19124931
2009,East Midlands,L1_Yellow_rust_Crop_Incidence,0.15046692
2009,North East,L1_Yellow_rust_Crop_Incidence,0.18276256
2009,North West,L1_Yellow_rust_Crop_Incidence,0.15674962
2009,South East,L1_Yellow_rust_Crop_Incidence,0.15444149
2009,South West,L1_Yellow_rust_Crop_Incidence,0.13388957
2009,West Midlands,L1_Yellow_rust_Crop_Incidence,0.14333132
2009,Yorkshire and The Humber,L1_Yellow_rust_Crop_Incidence,0.18469857
2010,East,L1_Yellow_rust_Crop_Incidence,1.18725
2010,East Midlands,L1_Yellow_rust_Crop_Incidence,1.3753474
2010,North East,L1_Yellow_rust_Crop_Incidence,1.2774014
